"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","306","Update course","LMS servece","Fri Feb 27 13:05:23 UTC 2026","passed","Fri Feb 27 13:05:23 UTC 2026","Update entity","Courses","",""
"","263","Create file with empty filename","LMS servece","Fri Feb 27 13:05:31 UTC 2026","passed","Fri Feb 27 13:05:31 UTC 2026","Validate entity","Files","",""
"","36","Get courses multiple","LMS servece","Fri Feb 27 13:05:25 UTC 2026","passed","Fri Feb 27 13:05:25 UTC 2026","Get entity","Courses","",""
"","31","Delete file","LMS servece","Fri Feb 27 13:05:33 UTC 2026","passed","Fri Feb 27 13:05:33 UTC 2026","Delete entity","Files","",""
"","265","Get user me","LMS servece","Fri Feb 27 13:05:34 UTC 2026","passed","Fri Feb 27 13:05:34 UTC 2026","Get entity","Users","",""
"","35","Get courses multiple","LMS servece","Fri Feb 27 13:05:26 UTC 2026","passed","Fri Feb 27 13:05:26 UTC 2026","Get entity","Courses","",""
"","28","Delete exercise","LMS servece","Fri Feb 27 13:05:30 UTC 2026","passed","Fri Feb 27 13:05:30 UTC 2026","Delete entity","Exercises","",""
"","560","Create user","LMS servece","Fri Feb 27 13:05:34 UTC 2026","passed","Fri Feb 27 13:05:34 UTC 2026","Create entity","Users","",""
"","19","Create exercise","LMS servece","Fri Feb 27 13:05:26 UTC 2026","passed","Fri Feb 27 13:05:26 UTC 2026","Create entity","Exercises","",""
"","102","Create multiple courses","LMS servece","Fri Feb 27 13:05:25 UTC 2026","passed","Fri Feb 27 13:05:25 UTC 2026","Create entity","Courses","",""
"","17","Get exercise","LMS servece","Fri Feb 27 13:05:28 UTC 2026","passed","Fri Feb 27 13:05:28 UTC 2026","Get entity","Exercises","",""
"","315","Get courses","LMS servece","Fri Feb 27 13:05:24 UTC 2026","passed","Fri Feb 27 13:05:24 UTC 2026","Get entity","Courses","",""
"","558","Create user","LMS servece","Fri Feb 27 13:05:34 UTC 2026","passed","Fri Feb 27 13:05:34 UTC 2026","Create entity","Users","",""
"","264","Create file with empty directory","LMS servece","Fri Feb 27 13:05:32 UTC 2026","passed","Fri Feb 27 13:05:32 UTC 2026","Validate entity","Files","",""
"","27","Create course","LMS servece","Fri Feb 27 13:05:24 UTC 2026","passed","Fri Feb 27 13:05:24 UTC 2026","Create entity","Courses","",""
"","22","Create file","LMS servece","Fri Feb 27 13:05:30 UTC 2026","passed","Fri Feb 27 13:05:30 UTC 2026","Create entity","Files","",""
"","17","Get exercises","LMS servece","Fri Feb 27 13:05:29 UTC 2026","passed","Fri Feb 27 13:05:29 UTC 2026","Get entities","Exercises","",""
"","552","Login with correct email and password","LMS servece","Fri Feb 27 13:05:22 UTC 2026","passed","Fri Feb 27 13:05:23 UTC 2026","Login","Authentication","",""
"","526","Create user","LMS servece","Fri Feb 27 13:05:33 UTC 2026","passed","Fri Feb 27 13:05:34 UTC 2026","Create entity","Users","",""
"","289","Get file","LMS servece","Fri Feb 27 13:05:31 UTC 2026","passed","Fri Feb 27 13:05:31 UTC 2026","Get entity","Files","",""
"","267","Get file with incorrect file id","LMS servece","Fri Feb 27 13:05:32 UTC 2026","passed","Fri Feb 27 13:05:33 UTC 2026","Validate entity","Files","",""
"","45","Get courses multiple","LMS servece","Fri Feb 27 13:05:27 UTC 2026","passed","Fri Feb 27 13:05:28 UTC 2026","Get entity","Courses","",""
"","24","Update exercise","LMS servece","Fri Feb 27 13:05:29 UTC 2026","passed","Fri Feb 27 13:05:29 UTC 2026","Update entity","Exercises","",""
